Wavelength (nm),Absorbance
983,0.02983
982,0.03
981,0.029938
980,0.030104
979,0.030269
978,0.030055
977,0.030047
976,0.030177
975,0.030163
974,0.03017
973,0.030363
972,0.030342
971,0.030361
970,0.03041
969,0.03054
968,0.030506
967,0.030475
966,0.030427
965,0.030539
964,0.030606
963,0.030634
962,0.030635
961,0.030692
960,0.03074
959,0.030829
958,0.0309
957,0.03078
956,0.030834
955,0.031
954,0.031035
953,0.030976
952,0.03097
951,0.031032
950,0.031103
949,0.031119
948,0.031046
947,0.031112
946,0.031264
945,0.031318
944,0.03131
943,0.03135
942,0.031294
941,0.031362
940,0.031412
939,0.031398
938,0.031441
937,0.031559
936,0.031444
935,0.031589
934,0.031619
933,0.031546
932,0.031617
931,0.031655
930,0.031721
929,0.031722
928,0.031794
927,0.031744
926,0.031642
925,0.031797
924,0.03171
923,0.031758
922,0.031967
921,0.032008
920,0.031968
919,0.031963
918,0.032076
917,0.032059
916,0.032028
915,0.032003
914,0.031962
913,0.032013
912,0.031907
911,0.031853
910,0.032061
909,0.032105
908,0.031973
907,0.032119
906,0.032252
905,0.032223
904,0.032103
903,0.03208
902,0.032154
901,0.032213
900,0.032189
899,0.03217
898,0.032184
897,0.032231
896,0.032353
895,0.03234
894,0.032292
893,0.032269
892,0.032317
891,0.032331
890,0.032437
889,0.032439
888,0.032397
887,0.03252
886,0.032495
885,0.032425
884,0.032392
883,0.032463
882,0.032572
881,0.032591
880,0.032594
879,0.032626
878,0.03251
877,0.032506
876,0.032565
875,0.032534
874,0.032591
873,0.032663
872,0.032652
871,0.032557
870,0.032633
869,0.032563
868,0.032587
867,0.032652
866,0.032686
865,0.032672
864,0.032717
863,0.032723
862,0.032719
861,0.032707
860,0.032457
859,0.032348
858,0.031976
857,0.031946
856,0.032116
855,0.031033
854,0.031121
853,0.031425
852,0.031746
851,0.031099
850,0.03115
849,0.03138
848,0.031395
847,0.031375
846,0.031268
845,0.031094
844,0.030928
843,0.030803
842,0.031016
841,0.0307
840,0.030604
839,0.030841
838,0.030686
837,0.030607
836,0.030791
835,0.030472
834,0.03023
833,0.030322
832,0.030354
831,0.030226
830,0.030102
829,0.030141
